20220324,1351,2,2,6,4,225900
20220324,1351,2,2,4,6,180000
20220324,1411,2,1,6,4,281120
20220324,1411,2,1,4,6,224000
20220324,1418,2,1,6,4,281120
20220324,1418,2,1,6,4,281120
20220324,1423,2,1,6,4,281120
20220324,1423,2,1,6,4,281120
20220324,1425,2,1,4,3,224000
20220324,1425,1,2,4,4,60000
20220324,1439,2,1,6,4,281120
20220324,1439,1,1,7,1,413000
20220324,1449,2,2,6,2,225900
20220324,1449,1,2,4,6,177600
20220324,1458,2,1,7,4,337120
20220324,1458,1,2,4,6,177600
20220324,1509,1,2,6,4,240960
20220324,1523,2,1,6,4,281120
20220324,1523,2,1,4,6,224000
20220324,1523,2,1,4,4,151000
